roll,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy
0-10,NA,-,-,TRUE,FALSE,TRUE,LA,-,-,TRUE,FALSE,TRUE,MA,-,-,TRUE,FALSE,TRUE,HA,-,-,TRUE,FALSE,TRUE
11-35,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
36-40,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
41-45,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
46-50,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
51-55,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
56-60,NA,1,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
61-65,NA,2,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
66-70,NA,3,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
71-75,NA,4,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
76-80,NA,5,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
81-85,NA,6,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
86-90,NA,7,Sup,FALSE,TRUE,FALSE,LA,1,-,FALSE,FALSE,FALSE,MA,1,-,FALSE,FALSE,FALSE,HA,1,-,FALSE,FALSE,FALSE
91-95,NA,8,Sup,FALSE,TRUE,FALSE,LA,2,-,FALSE,FALSE,FALSE,MA,2,-,FALSE,FALSE,FALSE,HA,2,-,FALSE,FALSE,FALSE
96-100,NA,9,Sup,FALSE,TRUE,FALSE,LA,3,-,FALSE,FALSE,FALSE,MA,3,-,FALSE,FALSE,FALSE,HA,3,-,FALSE,FALSE,FALSE
101-105,NA,10,Sup,FALSE,TRUE,FALSE,LA,4,Sup,FALSE,TRUE,FALSE,MA,4,-,FALSE,FALSE,FALSE,HA,4,-,FALSE,FALSE,FALSE
106-110,NA,11,Sup,FALSE,TRUE,FALSE,LA,5,Sup,FALSE,TRUE,FALSE,MA,5,Sup,FALSE,TRUE,FALSE,HA,5,-,FALSE,FALSE,FALSE
111-115,NA,12,Lig,FALSE,TRUE,FALSE,LA,6,Sup,FALSE,TRUE,FALSE,MA,6,Sup,FALSE,TRUE,FALSE,HA,5,Sup,FALSE,TRUE,FALSE
116-120,NA,13,Lig,FALSE,TRUE,FALSE,LA,7,Sup,FALSE,TRUE,FALSE,MA,7,Sup,FALSE,TRUE,FALSE,HA,6,Sup,FALSE,TRUE,FALSE
121-125,NA,14,Lig,FALSE,TRUE,FALSE,LA,8,Sup,FALSE,TRUE,FALSE,MA,8,Sup,FALSE,TRUE,FALSE,HA,7,Sup,FALSE,TRUE,FALSE
126-130,NA,15,Lig,FALSE,TRUE,FALSE,LA,10,Lig,FALSE,TRUE,FALSE,MA,8,Lig,FALSE,TRUE,FALSE,HA,7,Sup,FALSE,TRUE,FALSE
131-135,NA,16,Mod,FALSE,TRUE,FALSE,LA,12,Lig,FALSE,TRUE,FALSE,MA,9,Lig,FALSE,TRUE,FALSE,HA,7,Lig,FALSE,TRUE,FALSE
136-140,NA,18,Mod,FALSE,TRUE,FALSE,LA,13,Lig,FALSE,TRUE,FALSE,MA,10,Lig,FALSE,TRUE,FALSE,HA,8,Lig,FALSE,TRUE,FALSE
141-145,NA,20,Mod,FALSE,TRUE,FALSE,LA,14,Mod,FALSE,TRUE,FALSE,MA,10,Mod,FALSE,TRUE,FALSE,HA,9,Lig,FALSE,TRUE,FALSE
146-150,NA,21,Mod,FALSE,TRUE,FALSE,LA,16,Mod,FALSE,TRUE,FALSE,MA,12,Mod,FALSE,TRUE,FALSE,HA,9,Mod,FALSE,TRUE,FALSE
151-155,NA,22,Mod,FALSE,TRUE,FALSE,LA,18,Mod,FALSE,TRUE,FALSE,MA,14,Mod,FALSE,TRUE,FALSE,HA,10,Mod,FALSE,TRUE,FALSE
156-160,NA,24,Gri,FALSE,TRUE,FALSE,LA,20,Mod,FALSE,TRUE,FALSE,MA,15,Mod,FALSE,TRUE,FALSE,HA,12,Mod,FALSE,TRUE,FALSE
161-165,NA,26,Gri,FALSE,TRUE,FALSE,LA,22,Gri,FALSE,TRUE,FALSE,MA,16,Gri,FALSE,TRUE,FALSE,HA,14,Gri,FALSE,TRUE,FALSE
166-170,NA,28,Gri,FALSE,TRUE,FALSE,LA,24,Gri,FALSE,TRUE,FALSE,MA,18,Gri,FALSE,TRUE,FALSE,HA,16,Gri,FALSE,TRUE,FALSE
171-175,NA,34,Let,FALSE,TRUE,FALSE,LA,26,Let,FALSE,TRUE,FALSE,MA,20,Let,FALSE,TRUE,FALSE,HA,18,Let,FALSE,TRUE,FALSE
