roll,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy
0-10,NA,-,-,TRUE,FALSE,TRUE,LA,-,-,TRUE,FALSE,TRUE,MA,-,-,TRUE,FALSE,TRUE,HA,-,-,TRUE,FALSE,TRUE
11-35,NA,-,-,TRUE,FALSE,FALSE,LA,-,-,TRUE,FALSE,FALSE,MA,-,-,TRUE,FALSE,FALSE,HA,-,-,TRUE,FALSE,FALSE
36-40,NA,-,-,TRUE,FALSE,FALSE,LA,-,-,TRUE,FALSE,FALSE,MA,-,-,TRUE,FALSE,FALSE,HA,-,-,TRUE,FALSE,FALSE
41-45,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
46-50,NA,1,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
51-55,NA,2,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
56-60,NA,4,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,1,-,FALSE,FALSE,FALSE
61-65,NA,5,-,FALSE,FALSE,FALSE,LA,1,-,FALSE,FALSE,FALSE,MA,1,-,FALSE,FALSE,FALSE,HA,1,-,FALSE,FALSE,FALSE
66-70,NA,6,-,FALSE,FALSE,FALSE,LA,2,-,FALSE,FALSE,FALSE,MA,2,-,FALSE,FALSE,FALSE,HA,2,-,FALSE,FALSE,FALSE
71-75,NA,8,-,FALSE,FALSE,FALSE,LA,3,-,FALSE,FALSE,FALSE,MA,3,-,FALSE,FALSE,FALSE,HA,3,-,FALSE,FALSE,FALSE
76-80,NA,9,Sup,FALSE,TRUE,FALSE,LA,5,-,FALSE,TRUE,FALSE,MA,4,-,FALSE,TRUE,FALSE,HA,4,-,FALSE,TRUE,FALSE
81-85,NA,10,Sup,FALSE,TRUE,FALSE,LA,7,-,FALSE,TRUE,FALSE,MA,5,-,FALSE,TRUE,FALSE,HA,5,-,FALSE,TRUE,FALSE
86-90,NA,12,Sup,FALSE,TRUE,FALSE,LA,8,-,FALSE,TRUE,FALSE,MA,6,-,FALSE,TRUE,FALSE,HA,6,-,FALSE,TRUE,FALSE
91-95,NA,13,Lig,FALSE,TRUE,FALSE,LA,9,Sup,FALSE,TRUE,FALSE,MA,7,-,FALSE,TRUE,FALSE,HA,6,-,FALSE,TRUE,FALSE
96-100,NA,14,Lig,FALSE,TRUE,FALSE,LA,10,Sup,FALSE,TRUE,FALSE,MA,8,Sup,FALSE,TRUE,FALSE,HA,7,-,FALSE,TRUE,FALSE
101-105,NA,15,Lig,FALSE,TRUE,FALSE,LA,11,Sup,FALSE,TRUE,FALSE,MA,9,Sup,FALSE,TRUE,FALSE,HA,7,Sup,FALSE,TRUE,FALSE
106-110,NA,17,Mod,FALSE,TRUE,FALSE,LA,12,Lig,FALSE,TRUE,FALSE,MA,10,Sup,FALSE,TRUE,FALSE,HA,8,Sup,FALSE,TRUE,FALSE
111-115,NA,19,Mod,FALSE,TRUE,FALSE,LA,13,Lig,FALSE,TRUE,FALSE,MA,11,Lig,FALSE,TRUE,FALSE,HA,9,Sup,FALSE,TRUE,FALSE
116-120,NA,23,Gri,FALSE,TRUE,FALSE,LA,14,Mod,FALSE,TRUE,FALSE,MA,12,Lig,FALSE,TRUE,FALSE,HA,10,Lig,FALSE,TRUE,FALSE
121-125,NA,26,Gri,FALSE,TRUE,FALSE,LA,16,Mod,FALSE,TRUE,FALSE,MA,14,Lig,FALSE,TRUE,FALSE,HA,12,Lig,FALSE,TRUE,FALSE
126-130,NA,28,Let,FALSE,TRUE,FALSE,LA,18,Mod,FALSE,TRUE,FALSE,MA,16,Mod,FALSE,TRUE,FALSE,HA,14,Lig,FALSE,TRUE,FALSE
