roll,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy
0-10,NA,-,-,TRUE,FALSE,TRUE,LA,-,-,TRUE,FALSE,TRUE,MA,-,-,TRUE,FALSE,TRUE,HA,-,-,TRUE,FALSE,TRUE
11-35,NA,-,-,TRUE,FALSE,FALSE,LA,-,-,TRUE,FALSE,FALSE,MA,-,-,TRUE,FALSE,FALSE,HA,-,-,TRUE,FALSE,FALSE
36-40,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
41-45,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
46-50,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
51-55,NA,1,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
56-60,NA,1,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
61-65,NA,2,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
66-70,NA,2,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
71-75,NA,3,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
76-80,NA,4,-,FALSE,FALSE,FALSE,LA,1,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
81-85,NA,5,-,FALSE,FALSE,FALSE,LA,2,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
86-90,NA,6,-,FALSE,FALSE,FALSE,LA,3,-,FALSE,FALSE,FALSE,MA,1,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
91-95,NA,7,-,FALSE,FALSE,FALSE,LA,4,-,FALSE,FALSE,FALSE,MA,2,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
96-100,NA,8,-,FALSE,FALSE,FALSE,LA,5,-,FALSE,FALSE,FALSE,MA,3,-,FALSE,FALSE,FALSE,HA,1,-,FALSE,FALSE,FALSE
101-105,NA,9,Sup,FALSE,TRUE,FALSE,LA,6,-,FALSE,FALSE,FALSE,MA,4,-,FALSE,FALSE,FALSE,HA,2,-,FALSE,FALSE,FALSE
106-110,NA,10,Sup,FALSE,TRUE,FALSE,LA,7,Sup,FALSE,TRUE,FALSE,MA,5,-,FALSE,FALSE,FALSE,HA,3,-,FALSE,FALSE,FALSE
111-115,NA,11,Sup,FALSE,TRUE,FALSE,LA,8,Sup,FALSE,TRUE,FALSE,MA,6,-,FALSE,FALSE,FALSE,HA,4,-,FALSE,FALSE,FALSE
116-120,NA,12,Lig,FALSE,TRUE,FALSE,LA,9,Sup,FALSE,TRUE,FALSE,MA,7,Sup,FALSE,TRUE,FALSE,HA,5,-,FALSE,FALSE,FALSE
121-125,NA,14,Lig,FALSE,TRUE,FALSE,LA,10,Lig,FALSE,TRUE,FALSE,MA,8,Sup,FALSE,TRUE,FALSE,HA,6,-,FALSE,FALSE,FALSE
126-130,NA,15,Lig,FALSE,TRUE,FALSE,LA,11,Lig,FALSE,TRUE,FALSE,MA,9,Sup,FALSE,TRUE,FALSE,HA,7,Sup,FALSE,TRUE,FALSE
