		Target 1																	Target 2																
										ae1			ae2			ae3											ae1			ae2			ae3		
roll	description	target	targetCondition	targetEffect1	attackerEffect1	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration	target	targetCondition2	targetEffect2	attackerEffect2	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration
0-5	Votre frappe est faible et ne pénètre pas.	T1	-	Cible : pas de Dégâts supplémentaires.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6-20	Vous entaillez légèrement le mollet.	T1	-	Cible : Saignement (1 PV).	-	-	-	-	-	bleeding	1	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21-35	Vous entaillez l’épaule.	T1	-	Cible : +2 Dégâts, Saignement (1 PV).	-	2	-	-	-	bleeding	1	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
36-50	Vous entaillez la poitrine.	T1	-	Cible : +3 Dégâts, Saignement (1 PV), -5 aux actions.	-	3	-5	-	minor	bleeding	1	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
51-65	Vous entaillez l’avant-bras.	T1	-	Cible : +4 Dégâts, Saignement (1 PV), Sonnée.	-	4	-	-	-	bleeding	1	-	stunned	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
66-79	Votre lame pénètre dans le flanc.	T1	Cible portant une armure	Cible : +5 Dégâts, Sonnée.	-	5	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d’armure	Cible : +10 Dégâts, Saignement (2 PV), Sonnée, -10 aux actions.	-	10	-10	-	minor	bleeding	2	-	stunned	-	-	-	-	-
80-89	Votre lame entaille largement la cuisse.	T1	Cible portant une armure protégeant les jambes	Cible : +3 Dégâts.	-	3	-	-	-	-	-	-	-	-	-	-	-	-	T2	Cible ne portant pas une armure protégeant les jambes	Cible : +6 Dégâts, Saignement (3 PV), Sonnée, -20 aux actions.	-	6	-20	-	minor	bleeding	3	-	stunned	-	-	-	-	-
90-99	Vous entaillez l’abdomen.	T1	Cible portant une armure	Cible : +10 Dégâts, Sonnée, Saignement (3 PV)	-	10	-	-	-	bleeding	3	-	stunned	-	-	-	-	-	T2	Cible ne portant pas d’armure	Cible : +10 Dégâts, Sonnée, Saignement (6 PV), -30 aux actions. 	-	10	-30	-	serious	bleeding	6	-	stunned	-	-	-	-	-
100	Votre frappe vient scalper la tempe de la cible.	T1	Cible portant un casque	Cible : +4 Dégâts, Sonnée.	-	4	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas de casque	Cible : +10 Dégâts, Saignement (3 PV), Sonnée, -20 aux actions, oreille tranchée.	-	10	-20	-	minor	bleeding	3	-	stunned	-	-	-	-	-
101-106	Votre coup touche une main (50% D/50% G).	T1	Cible touchée à la main du bouclier	Cible : +4 Dégâts, Sonnée, bouclier inutilisable.	-	4	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	Cible touchée à la main d’arme	Cible : Saignement (1 PV), Sonnée, 1d5 doigts sectionnés, -10 aux actions pour chaque doigt sectionné.	-	-	special	-	special	bleeding	1	-	stunned	-	-	-	-	-
107-109	Vous entaillez profondément la face interne de la jambe, sectionnant tendons et muscles.	T1	-	Cible : +12 Dégâts, Saignement (6 PV), Sonnée, -40 aux actions.	-	12	-40	-	serious	bleeding	6	-	stunned	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
110	Votre lame entaille profondément le bas de l’abdomen.	T1	Cible portant une armure	Cible : +10 Dégâts, Saignement (6 PV), Sonnée, -30 aux actions.	-	10	-30	-	serious	bleeding	6	-	stunned	-	-	-	-	-	T2	Cible ne portant pas d’armure	Cible : éviscération, coma, Mourante, meurt après 12 Rounds.	-	-	-	-	-	inconscious	-	-	dying	-	12	prone	-	-
111-116	Vous portez un coup puissant dans la poitrine de la cible.	T1	Cible portant une armure de métal	Cible : +12 Dégâts, À Terre, Sonnée, -30 aux actions.	-	12	-30	-	serious	stunned	-	-	prone	-	-	-	-	-	T2	Cible ne portant pas d’armure de métal	Cible : +12 Dégâts, À Terre, Sonnée, -30 aux actions., Saignement (10 PV).	-	12	-30	-	serious	bleeding	10	-	stunned	-	-	prone	-	-
117-119	Votre coup vicieux atteint l’avant-bras du bras d’arme.	T1	-	Cible : +10 Dégâts, Sonnée, désarmée.	-	10	-	-	-	stunned	-	-	disarmed	-	-	-	-	-	T2	Cible ne portant pas d’armure protégeant les bras	Cible : +10 Dégâts, Sonnée, désarmée, Saignement (10 PV), bras sectionné, -40 aux actions.	-	10	-40	-	serious	bleeding	10	-	stunned	-	-	-	-	-
120	Votre lame s’abat sur le cou de la cible.	T1	Cible portant une armure protégeant le cou	Cible : +10 Dégâts, Saignement (6 PV), Sonnée, protection détruite.	-	10	-	-	-	bleeding	6	-	stunned	-	-	-	-	-	T2	Cible ne portant pas une armure protégeant le cou	Cible : Sonnée, gorge tranchée, Mourante, meurt après 8 Rounds.	-	-	-	-	-	dying	-	8	stunned	-	-	-	-	-
121-126	Votre lame s’enfonce profondément dans l’épaule, sectionnant quasiment le bras.	T1	Cible portant une armure Rigide	Cible : +10 Dégâts, Saignement (4 PV), Sonnée, -30 aux actions.	-	10	-30	-	serious	bleeding	4	-	stunned	-	-	-	-	-	T2	Cible ne portant pas une armure Rigide	Cible : +15 Dégâts, Saignement (10 PV), Sonnée, bras inutilisable, -50 aux actions.	-	15	-50	-	serious	bleeding	10	-	stunned	-	-	-	-	-
127-129	Votre lame sectionne un pied.	T1	-	Cible : À Terre, Sonnée, Saignement (8 PV), -50 aux actions.	-	-	-50	-	serious	bleeding	8	-	stunned	-	-	prone	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
130	En plein visage !	T1	Cible portant un heaume (avec visière)	Cible : +12 Dégâts, Saignement (4 PV), Sonnée, -40 aux actions, heaume, dents et nez fendus, cicatrice permanente (-10 ALL).	-	12	-40	-	serious	bleeding	4	-	stunned	-	-	-	-	-	T2	Cible ne portant pas de heaume	Cible : visage fendu, mort instantanée.	-	-	-	-	-	dead	-	-	-	-	-	-	-	-
131-136	Votre frappe puissante sectionne le bras d’arme au niveau du coude.	T1	-	Cible : +12 Dégâts, Saignement (12 PV), Sonnée, bras inutilisable, -40 aux actions.	-	12	-40	-	serious	bleeding	12	-	stunned	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
