		Target 1																	Target 2																
										ae1			ae2			ae3											ae1			ae2			ae3		
roll	description	target	targetCondition	targetEffect1	attackerEffect1	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration	target	targetCondition2	targetEffect2	attackerEffect1	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration
0-5	Un coup oblique laisse une vilaine marque sur l’avant-bras de la cible.	T1	-	Cible : +3 Dégâts.	-	3	-	-	-	-	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6-20	La cible esquive à moitié le coup, mais ne peut l’éviter complètement.	T1	-	Cible : +6 Dégâts, Saignement (1 PV).	-	6	-	-	-	bleeding	1	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21-35	L’énergie sombre déchire les muscles de la cuisse de la cible, la laissant endolorie.	T1	-	Cible : +5 Dégâts, Sonnée, -5 aux actions.	-	5	-5	-	minor	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
36-50	La cible regrette instantanément d’avoir levé son bras pour Parer le coup.	T1	-	Cible : +10 Dégâts, Saignement (2 PV), lâche ce qu’elle tient.	-	10	-	-	-	bleeding	2	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
51-65	Le coup frappe violemment la poitrine de la cible, la laissant meurtrie et hagarde.	T1	-	Cible : +12 Dégâts, Sonnée, -10 aux actions.	-	12	-10	-	minor	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
66-79	La cible tombe au sol en hurlant de douleur, le flanc brûlé par une horrible explosion.	T1	-	Cible : +12 Dégâts, Saignement (2 PV), À Terre, Sonnée.	-	12	-	-	-	stunned	-	-	prone	-	-	bleeding	2	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
80-89	Des flammes noires enveloppent la main gauche de la cible.	T1	-	Cible : +10 Dégâts, Saignement (3 PV), Sonnée, -10 aux actions, lâche tout ce qu’elle tient dans sa main gauche.	-	10	-10	-	minor	stunned	-	-	bleeding	3	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
90-99	La cible se tord de douleur tandis que d’horribles cloques suintantes apparaissent sur son abdomen, là où le coup l’a touchée.	T1	-	Cible : +13 Dégâts, Saignement (4 PV), À Terre, -20 aux actions.	-	13	-20	-	minor	bleeding	4	-	prone	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
100	Un feu verdâtre et malsain dévore le côté de la tête de la cible.	T1	Cible portant un casque	Cible : +10 Dégâts, +1 Dégâts d’Âme, Sonnée, casque détruit.	-	10	-	-	-	stunned	-	-	soul	1	-	-	-	-	T2	Cible ne portant pas de casque	Cible : +3 Dégâts d’Âme, inconsciente, oreille consumée.	-	-	-	-	-	inconscious	-	-	soul	3	-	-	-	-
101-106	Le coup ouvre une énorme entaille sur la cuisse de la cible.	T1	-	Cible : +13 Dégâts, Saignement (6 PV), Sonnée, -30 aux actions.	-	13	-30	-	serious	stunned	-	-	bleeding	6	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
107-109	Le coup, d’une puissance effroyable, détruit le genou.	T1	Cible portant une armure de métal sur les jambes	Cible : +10 Dégâts, Sonnée, -50 aux actions, armure détruite.	-	10	-50	-	serious	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d'armure de métal sur les jambes	Cible : +15 Dégâts, À Terre, Sonnée, -70 aux actions, jambe amputée au niveau du genou.	-	15	-70	-	crippling	prone	-	-	stunned	-	-	-	-	-
110	Des vrilles d’énergie noire ravagent le dos de l’ennemi.	T1	Cible portant une armure	Cible : +12 Dégâts, +3 Dégâts d’Âme, Saignement (3 PV), Sonnée.	-	12	-	-	-	stunned	-	-	bleeding	3	-	soul	3	-	T2	Cible ne portant pas d’armure	Cible : colonne vertébrale fracturée, paralysie, Mourante, meurt après 8 Rounds.	-	-	-	-	-	prone	-	-	dying	-	8	paralyzed	-	-
111-116	La puanteur de la chair pourrie emplit l’air tandis que la corruption colonise la poitrine de la cible.	T1	-	Cible : +15 Dégâts, +3 Dégâts d’Âme, Saignement (4 PV), Sonnée, -40 aux actions.	-	15	-40	-	serious	stunned	-	-	bleeding	4	-	soul	3	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
