		Target 1																	Target 2																
										ae1			ae2			ae3											ae1			ae2			ae3		
roll	description	target	targetCondition	targetEffect1	attackerEffect1	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration	target	targetCondition2	targetEffect2	attackerEffect1	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration
0-5	Juste une brise fraîche.	T1	-	Cible : +0 Dégâts.	-	0	-	-	-	-	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6-20	Un vent froid se lève.	T1	Cible portant une cape ou des vêtements épais	Cible : +3 Dégâts.	-	3	-	-	-	-	-	-	-	-	-	-	-	-	T2	Cible ne portant pas de cape ou de vêtement épais	Cible : +6 Dégâts, Sonnée.	-	6	-	-	-	stunned	-	-	-	-	-	-	-	-
21-35	Le froid mordant provoque des engelures.	T1	-	Cible : +7 Dégâts, Saignement (1 PV).	-	7	-	-	-	bleeding	1	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
36-50	Vous provoquez un coup de froid sur la poitrine de la cible.	T1	Cible portant une armure ou des vêtements épais	Cible : +5 Dégâts.	-	5	-	-	-	-	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d'armure ou de vêtement épais	Cible : ce qui précède, Saignement (2 PV), -10 aux actions.	-	-	-10	-	-	bleeding	2	-	-	-	-	-	-	-
51-65	Le froid s’insinue dans les lombaires de la cible.	T1	-	Cible : +9 Dégâts, Sonnée, les objets de bois portés sur le dos sont maintenant gelés et cassants, inutilisables.	-	9	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
66-79	Le froid s’insinue jusque dans le bassin de la cible.	T1	Cible portant une armure ou des vêtements épais	Cible : +3 Dégâts.	-	3	-	-	-	-	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d'armure ou de vêtement épais	Cible : +12 Dégâts, Sonnée, engelure pelvienne, stérilité permanente.	-	12	-	-	-	stunned	-	-	-	-	-	-	-	-
80-89	Votre coup percute la cible dans le dos, la projetant au sol.	T1	-	Cible : +10 Dégâts, Sonnée, désarmée.	-	10	-	-	-	stunned	-	-	disarmed	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
90-99	Le froid mordant s’en prend aux mains de la cible (1d10 : 1-4 gauche, 5-8 droite, 9-10 les deux).	T1	Cible portant des gants	Cible : +8 Dégâts, désarmée.	-	8	-	-	-	disarmed	-	-	-	-	-	-	-	-	T2	Cible ne portant pas de gants : perd 1d5 (ou 1d10) doigts, -5 aux actions pour chaque doigt perdu.	Cible : perd 1d5 (ou 1d10) doigts, -5 aux actions pour chaque doigt perdu.	-	-	special	-	special	-	-	-	-	-	-	-	-	-
100	Le froid mordant gèle le visage de la cible.	T1	Cible portant des fourrures ou des vêtements épais autour de la tête	Cible : +10 Dégâts, Sonnée.	-	10	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas de fourrure ou de vêtement épais autour de la tête	Cible : coma d’un mois, perte du nez à la suite de graves engelures.	-	-	-	-	-	-	-	-	-	-	-	-	-	-
101-106	La jambe de la cible gèle.	T1	-	Cible : +10 Dégâts, À Terre, Sonnée.	-	10	-	-	-	stunned	-	-	prone	-	-	-	-	-	T2	Cible ne portant pas d’armure ou de vêtement épais couvrant les jambes	Cible : jambe inutilisable, -40 aux actions.	-	-	-40	-	serious	-	-	-	-	-	-	-	-	-
107-109	Le coup de froid gèle la tempe de la cible.	T1	Cible portant une armure ou des vêtements épais	Cible : +8 Dégâts, Sonnée, -10 aux actions.	-	8	-10	-	minor	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d'armure ou de vêtement épais	Cible : +12 Dégâts, oreille gelée provoquant une pénalité permanente de -50 à la Perception auditive et -20 à tous les autres Jets de Perception.	-	12	-	-	-	-	-	-	-	-	-	-	-	-
110	Le coup de froid gèle la nuque de la cible.	T1	Cible portant une armure ou des vêtements épais	Cible : +8 Dégâts, Saignement (2 PV), Sonnée.	-	8	-	-	-	stunned	-	-	bleeding	2	-	-	-	-	T2	Cible ne portant pas d'armure ou de vêtement épais	Cible : coma pendant 3 semaines, paralysie à partir du cou à son réveil.	-	-	-	-	-	inconscious	-	-	prone	-	-	paralyzed	-	-
111-116	Le froid se change en une fine stalactite de glace venant percuter la cible.	T1	Cible portant une armure ou des vêtements épais	Cible : Saignement (2 PV), À Terre, Sonnée.	-	-	-	-	-	stunned	-	-	bleeding	2	-	prone	-	-	T2	Cible ne portant pas d'armure ou de vêtement épais	Cible : +13 Dégâts, -40 aux actions, engelures et un os cassé.	-	12	-40	-	serious	-	-	-	-	-	-	-	-	-
