		Target 1																	Target 2																
										ae1			ae2			ae2											ae1			ae2			ae2		
roll	description	target	targetCondition	targetEffect1	attackerEffect1	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration	target	targetCondition2	targetEffect2	attackerEffect2	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration
0-5	Vous attrapez la cible sans parvenir à la bloquer.	T1	-	Cible : pas de Dégâts supplémentaires.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6-20	Votre prise est trop légère, la cible se libère.	T1	-	Cible : +2 Dégâts.	-	2	-	-	-	-	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21-35	Vous saisissez le bras de la cible, mais elle parvient à se libérer.	T1	Cible portant d’amples manches longues	Cible : +3 Dégâts, Sonnée.	-	3	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
36-50	Vous entravez la jambe de la cible mais, en tournant sur elle-même, elle parvient à se libérer.	T1	-	Cible : +3 Dégâts, Sonnée.	-	3	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
51-65	Vous agrippez le bras du bouclier.	T1	Cible portant un bouclier	Cible : -50 aux actions jusqu’à ce qu’elle lâche son bouclier ou se libère.	-	-	-50	special	serious	-	-	-	-	-	-	-	-	-	T2	Cible ne portant pas de bouclier	Cible : Sonnée, -30 aux actions jusqu’à ce qu’elle se libère.	-	-	-30	-	serious	stunned	-	-	-	-	-	-	-	-
66-79	Vous agrippez le bras d’arme.	T1	-	Cible : +4 Dégâts, Sonnée, -20 aux actions, désarmée, entorse du poignet.	-	4	-20	-	minor	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
80-89	Vous enserrez la poitrine de la cible.	T1	Cible portant une armure Rigide	Cible : Sonnée.	-	-	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d’armure Rigide	Cible : 1d10 côtes cassées, +2 Dégâts et -5 aux actions pour chaque côte cassée.	-	2	special	-	special	-	-	-	-	-	-	-	-	-
90-99	Vous entravez la jambe de la cible.	T1	-	Cible : +3 Dégâts, À Terre, Bloquée, -30 aux actions.	-	3	-30	-	serious	prone	-	-	held	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
100	Vous entravez les deux jambes de la cible, qui tombe au sol.	T1	-	Cible : +9 Dégâts, À Terre, Bloquée, ne peut pas se relever, -40 aux actions jusqu’à ce qu’elle se libère.	-	9	-40	special	serious	prone	-	-	held	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
101-106	Vous entravez le bras d’arme et, en cherchant à se libérer, la cible a les ligaments déchirés.	T1	-	Cible : Bloquée, Sonnée, désarmée, -30 aux actions ; si l’attaquant maintient la saisie : 5 Dégâts par Round.	-	-	-30	-	serious	stunned	-	-	held	-	-	disarmed	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
107-109	Votre prise enserre le cou et une épaule, vous liant à la cible.	T1	-	Cible : Bloquée, -50 aux actions.	Attaquant : Bloqué, -50 aux actions, peut mettre fin à la saisie à tout moment.	-	-50	-	serious	held	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
