		Target 1																	Target 2																
										ae1			ae2			ae3											ae1			ae2			ae3		
roll	description	target	targetCondition	targetEffect1	attackerEffect1	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration	target	targetCondition2	targetEffect2	attackerEffect2	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration
0-5	Votre coup est faible et porte à plat.	T1	-	Cible : pas de dégâts supplémentaires.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6-20	Votre coup glisse le long de l’épaule.	T1	-	Cible : +5 Dégâts.	-	5	-	-	-	-	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21-35	Votre coup atteint la cuisse et provoque une vive douleur.	T1	-	Cible : +5 Dégâts, -10 aux actions.	-	5	-10	-	minor	-	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
36-50	Votre coup percute un avant-bras.	T1	Cible avec arme ou bouclier	Cible : lâche son arme ou son bouclier.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	T2	Cible sans arme ni bouclier	Cible : Sonnée.	-	-	-	-	-	stunned	-	-	-	-	-	-	-	-
51-65	Vous frappez droit dans les côtes, la cible en a le souffle coupé.	T1	-	Cible : +4 Dégâts, Sonnée, -40 aux actions pendant 1 Round.	-	4	-40	1	-	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
66-79	Vous frappez aux côtes par le côté.	T1	Cible portant une armure Rigide	Cible : +6 Dégâts, Sonnée.	-	6	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d’armure Rigide	Cible : +6 Dégâts, Sonnée, 1d5 côtes cassées, -5 aux actions pour chaque côte cassée.	-	6	special	-	special	stunned	-	-	-	-	-	-	-	-
80-89	Votre coup brise la main d’arme de la cible.	T1	-	Cible : +8 Dégâts, Sonnée, -20 aux actions, lâche son arme.	-	8	-20	-	minor	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
90-99	Votre coup s’enfonce dans l’abdomen de la cible et provoque une douleur fulgurante.	T1	Cible portant une armure Rigide	Cible : +12 Dégâts, Sonnée.	-	12	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d’armure Rigide	Cible : +15 Dégâts, Sonnée, -40 aux actions, muscles meurtris.	-	15	-40	-	serious	-	-	-	-	-	-	-	-	-
100	Vous frappez à plat sur la tête, la commotion perce les tympans.	T1	Cible portant un casque	Cible : +10 Dégâts, Sonnée, -20 aux actions, -40 à la Perception auditive.	-	10	-20	-	minor	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas de casque	Cible : +30 Dégâts, Sonnée, -20 aux actions, -40 à la Perception auditive, fracture du crâne, coma pendant 4 semaines.	-	30	-20	-	minor	inconscious	-	-	prone	-	-	-	-	-
101-106	Vous frappez à la cuisse.	T1	-	Cible : +12 Dégâts, Sonnée, -20 aux actions.	-	12	-20	-	minor	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d’armure protégeant les jambes	Cible : +15 Dégâts, Sonnée, fémur fracturé, -40 aux actions à la place.	-	15	-40	-	serious	stunned	-	-	-	-	-	-	-	-
107-109	Votre coup disloque le genou de la cible.	T1	-	Cible : +8 Dégâts, À Terre, -30 aux actions.	-	8	-30	-	serious	prone	-	-	stunned	-	-	-	-	-	T2	Cible ne portant pas d’armure protégeant les jambes	Cible : +20 Dégâts, -60 aux actions.	-	20	-60	-	crippling	-	-	-	-	-	-	-	-	-
110	Votre frappe s’enfonce dans les lombaires.	T1	-	Cible : +10 Dégâts, À Terre, Sonnée, -20 aux actions.	-	10	-20	-	minor	prone	-	-	stunned	-	-	-	-	-	T2	Cible ne portant pas d’armure protégeant le torse	Cible : -50 aux actions, vertèbre fêlée, risque de rester paralysée à partir de la taille si elle n’est pas traitée.	-		-50	-	crippling	-	-	-	-	-	-	-	-	-
111-116	Votre coup heurte puissamment la poitrine de la cible.	T1	-	Cible : +10 Dégâts, À Terre, Sonnée, lâche toutes ses armes.	-	10	-	-	-	prone	-	-	stunned	-	-	-	-	-	T2	Cible ne portant pas d’armure Rigide protégeant le torse	Cible : +20 Dégâts, -40 aux actions, sternum enfoncé.	-	20	-40	-	serious	-	-	-	-	-	-	-	-	-
117-119	Vous frappez l’un des deux avant-bras (50% D, 50% G) et en fracturez les os.	T1	Cible touchée au bras de bouclier	Cible : Sonnée, bouclier inutilisable.	-	-	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	Cible touchée au bras d’arme	Cible : +10 Dégâts, Sonnée, -30 aux actions, arme lâchée.	-	10	-30	-	serious	-	-	-	-	-	-	-	-	-
120	Vous frappez au cou.	T1	Cible portant une armure Rigide protégeant le cou	Cible : +12 Dégâts, Sonnée, -20 aux actions, incapable de parler ou manger de la nourriture solide jusqu’à ce qu’elle reçoive des soins.	-	12	-20	-	minor	stunned	-	-	silenced	-	-	-	-	-	T2	Cible ne portant pas une telle armure	Cible : Sonnée, trachée écrasée, Mourante, meurt après 12 Rounds.	-	-	-	-	-	stunned	-	-	dying	-	12	-	-	-
121-126	Votre coup brise un tibia.	T1	-	Cible : +15 Dégâts, À Terre, Sonnée, -40 aux actions.	-	15	-40	-	serious	prone	-	-	stunned	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
127-129	Votre coup désarticule une épaule, le bras est cassé et inutilisable.	T1	-	Cible : +15 Dégâts, Sonnée, -40 aux actions.	-	15	-40	-	serious	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
130	Votre coup enfonce la mâchoire de la cible.	T1	Cible portant un heaume (avec visière)	Cible : +20 Dégâts, Sonnée, -30 aux actions, mâchoire brisée, incapable de parler ou manger de la nourriture solide jusqu’à ce qu’elle reçoive des soins.	-	20	-30	-	serious	stunned	-	-	silenced	-	-	-	-	-	T2	Cible ne portant pas de heaume	Cible : mâchoire pénétrant les os du crâne, mort instantanée.	-	-	-	-	-	dead	-	-	-	-	-	-	-	-
131-136	Votre coup brise le coude du bras d’arme.	T1	-	Cible : +20 Dégâts, Sonnée, -40 aux actions, bras inutilisable.	-	20	-40	-	serious	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
