		Target 1																	Target 2																
										ae1			ae2			ae3											ae1			ae2			ae3		
roll	description	target	targetCondition	targetEffect1	attackerEffect1	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration	target	targetCondition2	targetEffect2	attackerEffect2	extraDmg	actionMalus	malusDuration	injury	type	value	duration	type	value	duration	type	value	duration
0-5	Les cheveux de la cible se dressent à cause de l’électricité statique.	T1	-	Cible : +0 Dégâts.	-	0	-	-	-	-	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6-20	Une légère décharge ébranle la cible.	T1	Cible ne portant pas d’armure de métal	Cible : +3 Dégâts.	-	3	-	-	-	-	-	-	-	-	-	-	-	-	T2	Cible portant une armure de métal	Cible : +3 Dégâts, et Sonnée.	-	3	-	-	-	stunned	-	-	-	-	-	-	-	-
21-35	La décharge engourdit les bras de la cible.	T1	-	Cible : Sonnée, lâche tout objet métallique qu’elle tient.	-	-	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
36-50	La foudre circule à travers le corps de la cible.	T1	Cible ne portant pas d’armure de métal	Cible : +6 Dégâts, -5 aux actions.	-	6	-5	-	minor	-	-	-	-	-	-	-	-	-	T2	Cible portant une armure de métal	Cible : +6 Dégâts, -5 aux actions et Sonnée.	-	6	-5	-	minor	stunned	-	-	-	-	-	-	-	-
51-65	La décharge pénètre dans le corps de la cible Par le Flanc et se propage au reste du corps, causant quelques dégâts musculaires.	T1	-	Cible : +9 Dégâts, Sonnée, -10 aux actions, lâche tout objet métallique qu’elle tient.	-	9	-10	-	minor	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
66-79	La puissante décharge endommage le bras du bouclier de la cible.	T1	Cible ne portant pas d’armure de métal	Cible : +12 Dégâts, -20 aux actions, lâche tout objet métallique qu’elle tient (bouclier compris).	-	12	-20	-	minor	-	-	-	-	-	-	-	-	-	T2	Cible portant une armure de métal	Cible : +12 Dégâts, Sonnée, -20 aux actions, lâche tout objet métallique qu’elle tient (bouclier compris).	-	12	-20	-	minor	stunned	-	-	-	-	-	-	-	-
80-89	La poitrine de la cible est foudroyée et son coeur s’arrête un moment.	T1	-	Cible : +10 Dégâts, À Terre, Sonnée, lâche tout objet métallique qu’elle tient.	-	10	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
90-99	L’arc électrique frappe la hanche de la cible et provoque de graves brûlures.	T1	-	Cible : +12 Dégâts, Saignement (4 PV), -30 aux actions, toute armure non métallique protégeant la jambe de la cible prend feu et est détruite.	-	12	-30	-	serious	bleeding	4	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
100	La cible est électrocutée.	T1	Cible ne portant pas d’armure de métal	Cible : À Terre, inconscience.	-	-	-	-	-	prone	-	-	inconscious	-	-	-	-	-	T2	Cible portant une armure de métal	Cible : coma pendant un mois.	-	-	-	-	-	inconscious	-	-	prone	-	-	-	-	-
101-106	L’arc électrique se propage dans le dos de la cible, attirant tout objet métallique porté.	T1	Cible ne portant pas d’armure de métal	Cible : +10 Dégâts, Sonnée, -20 aux actions.	-	10	-20	-	minor	stunned	-	-	-	-	-	-	-	-	T2	Cible portant une armure de métal	Cible : +10 Dégâts, Sonnée, -20 aux actions et Bloquée pendant 1 Round.	-	10	-20	-	minor	stunned	-	-	held	-	1	-	-	-
107-109	La foudre s’enroule autour des jambes de la cible, brûlant la chair et les muscles.	T1	-	Cible : +15 Dégâts, Saignement (5 PV), À Terre, -40 aux actions.	-	15	-40	-	serious	prone	-	-	bleeding	5	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
110	La foudre frappe la cible en pleine tête, illuminant son visage de l’intérieur.	T1	-	Cible : +15 Dégâts, aveugle pendant 1d5 Rounds, -20 aux actions.	-	15	-20	-	minor	blind	-	special	-	-	-	-	-	-	T2	Cible portant un casque de métal ou un heaume	Cible : cerveau endommagé, inconsciente, Mourante, meurt après 6 Rounds.	-	-	-	-	-	inconscious	-	-	prone	-	-	dying	-	6
111-116	Un arc électrique frappe violemment le bras d’arme.	T1	Cible portant une armure organique	Cible : Saignement (2 PV), Sonnée, -20 aux actions, lâche tout objet métallique qu’elle tient.	-	-	-20	-	minor	stunned	-	-	bleeding	2	-	-	-	-	T2	Cible ne portant pas d’armure organique	Cible : Saignement (4 PV), Sonnée, lâche tout objet qu’elle tient, bras inutilisable suite aux lésions neuromusculaires.	-	-	-	-	-	stunned	-	-	bleeding	4	-	-	-	-
117-119	La frappe diffuse dans l’abdomen de la cible.	T1	Cible portant une armure	Cible : +10 Dégâts, Sonnée, -20 aux actions.	-	10	-20	-	minor	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d’armure	Cible : +10 Dégâts, Saignement (2 PV), Sonnée, -40 aux actions.	-	10	-40	-	serious	stunned	-	-	bleeding	2	-	-	-	-
120	La foudre parcourt le corps de l’adversaire, provoquant des brûlures massives.	T1	Cible ne portant pas d’armure de métal	Cible : +10 Dégâts, Saignement (5 PV), À Terre, Sonnée.	-	10	-	-	-	stunned	-	-	bleeding	5	-	prone	-	-	T2	Cible portant une armure de métal	Cible : les différentes pièces d’armure, sous l’effet de l’arc électrique, se soudent, et la cible est Bloquée jusqu’à ce que l’armure soit retirée d’une manière ou d’une autre.	-	-	-	-	-	held	-	-	-	-	-	-	-	-
121-126	Le corps de la cible semble être un excellent conducteur électrique.	T1	Cible ne portant pas d’armure de métal	Cible : +15 Dégâts, Sonnée, et subit un Coup Critique Superficiel de Foudre au début du Round suivant.	-	15	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	Cible portant une armure de métal	Cible : +15 Dégâts, Sonnée, et subit un Coup Critique Léger de Foudre au début du Round suivant.	-	15	-	-	-	stunned	-	-	-	-	-	-	-	-
127-129	La foudre s’abat brutalement sur la poitrine de la cible, provoquant une importante crise convulsive.	T1	Cible portant une armure	Cible : +12 Dégâts, Saignement (2 PV), À Terre, Sonnée, -20 aux actions.	-	12	-20	-	minor	stunned	-	-	bleeding	2	-	prone	-	-	T2	Cible ne portant pas d’armure	Cible : insuffisance cardio-respiratoire, Mourante, meurt après 6 Rounds.	-	-	-	-	-	dying	-	6	-	-	-	-	-	-
130	La tête de la cible se transforme en bourrelet carbonisé, seules les dents sont épargnées.	T1	-	Cible : mort instantanée.	-	-	-	-	-	dead	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
